domain,mode,role,final_status,quality_label,ceiling_status_final,should_keep_improving,generalization_status,overfit_warning,mode_type,limitation_type,limitation_statement
adhd,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,malo,near_ceiling,only_if_new_signal,strong,no,short_1_3,performance_or_stability_limitation,material fragility or signal limits remain
adhd,caregiver_2_3,caregiver,HOLD_FOR_LIMITATION,malo,near_ceiling,only_if_new_signal,strong,no,short_2_3,performance_or_stability_limitation,material fragility or signal limits remain
adhd,caregiver_full,caregiver,HOLD_FOR_LIMITATION,malo,marginal_room_left,only_if_new_signal,acceptable,si,full,performance_or_stability_limitation,material fragility or signal limits remain
adhd,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,malo,near_ceiling,only_if_new_signal,strong,no,short_1_3,performance_or_stability_limitation,material fragility or signal limits remain
adhd,psychologist_2_3,psychologist,HOLD_FOR_LIMITATION,malo,near_ceiling,only_if_new_signal,strong,no,short_2_3,performance_or_stability_limitation,material fragility or signal limits remain
adhd,psychologist_full,psychologist,FROZEN_PRIMARY,muy_bueno,marginal_room_left,no,strong,no,full,none_or_minor,no major unresolved limitation
anxiety,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,malo,marginal_room_left,only_if_new_signal,weak,si,short_1_3,performance_or_stability_limitation,material fragility or signal limits remain
anxiety,caregiver_2_3,caregiver,FROZEN_WITH_CAVEAT,muy_bueno,near_ceiling,no,strong,no,short_2_3,none_or_minor,no major unresolved limitation
anxiety,caregiver_full,caregiver,REJECT_AS_PRIMARY,muy_bueno,near_ceiling,only_if_new_signal,acceptable,no,full,operational_rejection,material fragility or signal limits remain
anxiety,psychologist_1_3,psychologist,FROZEN_WITH_CAVEAT,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,acceptable,no,short_1_3,practical_ceiling_confirmed,best practical point reached with no material gain
anxiety,psychologist_2_3,psychologist,FROZEN_PRIMARY,muy_bueno,marginal_room_left,no,strong,no,short_2_3,none_or_minor,no major unresolved limitation
anxiety,psychologist_full,psychologist,FROZEN_PRIMARY,muy_bueno,marginal_room_left,no,strong,no,full,none_or_minor,no major unresolved limitation
conduct,caregiver_1_3,caregiver,FROZEN_WITH_CAVEAT,aceptable,ceiling_confirmed,no_practical_ceiling_confirmed,acceptable,si,short_1_3,practical_ceiling_confirmed,best practical point reached with no material gain
conduct,caregiver_2_3,caregiver,FROZEN_PRIMARY,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,strong,no,short_2_3,practical_ceiling_confirmed,best practical point reached with no material gain
conduct,caregiver_full,caregiver,FROZEN_PRIMARY,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,strong,no,full,practical_ceiling_confirmed,best practical point reached with no material gain
conduct,psychologist_1_3,psychologist,FROZEN_WITH_CAVEAT,aceptable,marginal_room_left,yes,acceptable,si,short_1_3,none_or_minor,no major unresolved limitation
conduct,psychologist_2_3,psychologist,FROZEN_PRIMARY,muy_bueno,marginal_room_left,no,strong,no,short_2_3,none_or_minor,no major unresolved limitation
conduct,psychologist_full,psychologist,FROZEN_PRIMARY,muy_bueno,marginal_room_left,no,strong,no,full,none_or_minor,no major unresolved limitation
depression,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,malo,near_ceiling,only_if_new_signal,acceptable,si,short_1_3,performance_or_stability_limitation,material fragility or signal limits remain
depression,caregiver_2_3,caregiver,HOLD_FOR_LIMITATION,aceptable,marginal_room_left,only_if_new_signal,strong,no,short_2_3,performance_or_stability_limitation,material fragility or signal limits remain
depression,caregiver_full,caregiver,HOLD_FOR_LIMITATION,aceptable,near_ceiling,only_if_new_signal,strong,no,full,performance_or_stability_limitation,material fragility or signal limits remain
depression,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,malo,near_ceiling,only_if_new_signal,acceptable,si,short_1_3,performance_or_stability_limitation,material fragility or signal limits remain
depression,psychologist_2_3,psychologist,FROZEN_WITH_CAVEAT,aceptable,near_ceiling,no,acceptable,si,short_2_3,none_or_minor,no major unresolved limitation
depression,psychologist_full,psychologist,HOLD_FOR_LIMITATION,aceptable,near_ceiling,only_if_new_signal,strong,no,full,performance_or_stability_limitation,material fragility or signal limits remain
elimination,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,aceptable,marginal_room_left,only_if_new_signal,strong,no,short_1_3,performance_or_stability_limitation,material fragility or signal limits remain
elimination,caregiver_2_3,caregiver,CEILING_CONFIRMED_BEST_PRACTICAL_POINT,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,strong,no,short_2_3,practical_ceiling_confirmed,best practical point reached with no material gain
elimination,caregiver_full,caregiver,FROZEN_PRIMARY,muy_bueno,marginal_room_left,no,strong,no,full,none_or_minor,no major unresolved limitation
elimination,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,malo,near_ceiling,only_if_new_signal,acceptable,si,short_1_3,performance_or_stability_limitation,material fragility or signal limits remain
elimination,psychologist_2_3,psychologist,CEILING_CONFIRMED_BEST_PRACTICAL_POINT,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,strong,no,short_2_3,practical_ceiling_confirmed,best practical point reached with no material gain
elimination,psychologist_full,psychologist,FROZEN_PRIMARY,muy_bueno,marginal_room_left,no,strong,no,full,none_or_minor,no major unresolved limitation
