table_name,constraint_name,columns,referred_table,referred_columns
app_user,fk_app_user_colpsic_rejected_by,colpsic_rejected_by,app_user,id
app_user,fk_app_user_colpsic_verified_by,colpsic_verified_by,app_user,id
audit_log,audit_log_user_id_fkey,user_id,app_user,id
diagnostic_threshold,diagnostic_threshold_created_by_user_id_fkey,created_by_user_id,app_user,id
diagnostic_threshold,diagnostic_threshold_disorder_id_fkey,disorder_id,disorder,id
diagnostic_threshold,diagnostic_threshold_ml_model_version_id_fkey,ml_model_version_id,ml_model_version,id
email_log,email_log_evaluation_report_id_fkey,evaluation_report_id,evaluation_report,id
evaluation,evaluation_psychologist_id_fkey,psychologist_id,app_user,id
evaluation,evaluation_requested_by_user_id_fkey,requested_by_user_id,app_user,id
evaluation,evaluation_subject_id_fkey,subject_id,subject,id
evaluation,fk_evaluation_questionnaire_template,questionnaire_template_id,questionnaire_template,id
evaluation_prediction,evaluation_prediction_evaluation_id_fkey,evaluation_id,evaluation,id
evaluation_prediction,evaluation_prediction_ml_model_version_id_fkey,ml_model_version_id,ml_model_version,id
evaluation_prediction_detail,evaluation_prediction_detail_disorder_id_fkey,disorder_id,disorder,id
evaluation_prediction_detail,evaluation_prediction_detail_evaluation_prediction_id_fkey,evaluation_prediction_id,evaluation_prediction,id
evaluation_report,evaluation_report_created_by_user_id_fkey,created_by_user_id,app_user,id
evaluation_report,evaluation_report_evaluation_id_fkey,evaluation_id,evaluation,id
evaluation_response,evaluation_response_evaluation_id_fkey,evaluation_id,evaluation,id
evaluation_response,evaluation_response_question_id_fkey,question_id,question,id
generated_reports,generated_reports_report_job_id_fkey,report_job_id,report_jobs,id
mfa_login_challenge,mfa_login_challenge_user_id_fkey,user_id,app_user,id
ml_model_version,ml_model_version_ml_model_id_fkey,ml_model_id,ml_model,id
ml_model_version,ml_model_version_trained_by_user_id_fkey,trained_by_user_id,app_user,id
model_artifact_registry,model_artifact_registry_model_version_id_fkey,model_version_id,model_versions,id
model_confidence_registry,model_confidence_registry_activation_id_fkey,activation_id,model_mode_domain_activation,id
model_metrics_snapshot,model_metrics_snapshot_model_version_id_fkey,model_version_id,model_versions,id
model_mode_domain_activation,model_mode_domain_activation_model_registry_id_fkey,model_registry_id,model_registry,id
model_mode_domain_activation,model_mode_domain_activation_model_version_id_fkey,model_version_id,model_versions,id
model_operational_caveats,model_operational_caveats_activation_id_fkey,activation_id,model_mode_domain_activation,id
model_versions,model_versions_model_registry_id_fkey,model_registry_id,model_registry,id
password_reset_token,password_reset_token_user_id_fkey,user_id,app_user,id
problem_report_attachments,problem_report_attachments_report_id_fkey,report_id,problem_reports,id
problem_report_audit_events,problem_report_audit_events_actor_user_id_fkey,actor_user_id,app_user,id
problem_report_audit_events,problem_report_audit_events_report_id_fkey,report_id,problem_reports,id
problem_reports,problem_reports_related_questionnaire_session_id_fkey,related_questionnaire_session_id,questionnaire_sessions,id
problem_reports,problem_reports_reporter_user_id_fkey,reporter_user_id,app_user,id
psychologist_feedback,psychologist_feedback_evaluation_id_fkey,evaluation_id,evaluation,id
psychologist_feedback,psychologist_feedback_psychologist_id_fkey,psychologist_id,app_user,id
qr_disclosure_version,qr_disclosure_version_created_by_user_id_fkey,created_by_user_id,app_user,id
qr_disclosure_version,qr_disclosure_version_questionnaire_version_id_fkey,questionnaire_version_id,qr_questionnaire_version,id
qr_domain_result,qr_domain_result_evaluation_id_fkey,evaluation_id,qr_evaluation,id
qr_evaluation,qr_evaluation_consent_disclosure_id_fkey,consent_disclosure_id,qr_disclosure_version,id
qr_evaluation,qr_evaluation_pdf_disclaimer_id_fkey,pdf_disclaimer_id,qr_disclosure_version,id
qr_evaluation,qr_evaluation_pre_disclaimer_id_fkey,pre_disclaimer_id,qr_disclosure_version,id
qr_evaluation,qr_evaluation_psychologist_user_id_fkey,psychologist_user_id,app_user,id
qr_evaluation,qr_evaluation_questionnaire_version_id_fkey,questionnaire_version_id,qr_questionnaire_version,id
qr_evaluation,qr_evaluation_requested_by_user_id_fkey,requested_by_user_id,app_user,id
qr_evaluation,qr_evaluation_result_disclaimer_id_fkey,result_disclaimer_id,qr_disclosure_version,id
qr_evaluation_response,qr_evaluation_response_evaluation_id_fkey,evaluation_id,qr_evaluation,id
qr_evaluation_response,qr_evaluation_response_question_id_fkey,question_id,qr_question,id
qr_evaluation_response,qr_evaluation_response_section_id_fkey,section_id,qr_questionnaire_section,id
