question_group_id,concept_name,domains,mode_supported,source_type,input_keys_covered,derivation_targets,question_role,section_candidate,ordering_priority,direct_or_supporting,expected_response_type,preferred_scale_name,ask_once_or_repeat,respondent_expected,administered_by,caregiver_prompt_candidate,psychologist_prompt_candidate,caregiver_help_text_candidate,psychologist_help_text_candidate,allow_unknown,unknown_option_needed,criticality,branching_candidate,branching_rule_summary,validation_rule_summary,terminology_risk,notes
ari_p_symptom_total,ari p symptom total,conduct,both,score_derivado,ari_p_symptom_total,ari_p_symptom_total,supporting,ari,10,supporting,integer,integer_0_12,ask_once,clinician,both,ARI: ari p symptom total (respuesta estructurada),ARI: ari p symptom total (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,no,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
ari_sr_symptom_total,ari sr symptom total,conduct,psychologist,score_derivado,ari_sr_symptom_total,ari_sr_symptom_total,supporting,ari,10,supporting,integer,integer_0_12,ask_once,child,psychologist,ARI: ari sr symptom total (respuesta estructurada),ARI: ari sr symptom total (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,no,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
has_ari_p,has ari p,conduct,both,disponibilidad_instrumental,has_ari_p,n/a,direct,ari,10,direct,boolean,boolean_yes_no,ask_once,clinician,both,ARI: has ari p (respuesta estructurada),ARI: has ari p (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,yes,high,yes,"si has_* = no, ocultar bloque instrumental asociado",valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
has_ari_sr,has ari sr,conduct,both,disponibilidad_instrumental,has_ari_sr,n/a,direct,ari,10,direct,boolean,boolean_yes_no,ask_once,clinician,both,ARI: has ari sr (respuesta estructurada),ARI: has ari sr (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,yes,high,yes,"si has_* = no, ocultar bloque instrumental asociado",valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
cbcl_001,cbcl 001,anxiety,psychologist,general,cbcl_001,n/a,direct,cbcl,10,direct,ordinal,ordinal_0_2,ask_once,clinician,psychologist,CBCL: cbcl 001 (respuesta estructurada),CBCL: cbcl 001 (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,yes,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
cbcl_002,cbcl 002,anxiety,psychologist,general,cbcl_002,n/a,direct,cbcl,10,direct,integer,integer_0_2,ask_once,clinician,psychologist,CBCL: cbcl 002 (respuesta estructurada),CBCL: cbcl 002 (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,no,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
cbcl_003,cbcl 003,anxiety,psychologist,general,cbcl_003,n/a,direct,cbcl,10,direct,integer,integer_0_2,ask_once,clinician,psychologist,CBCL: cbcl 003 (respuesta estructurada),CBCL: cbcl 003 (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,no,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
cbcl_004,cbcl 004,anxiety,psychologist,general,cbcl_004,n/a,direct,cbcl,10,direct,integer,integer_0_2,ask_once,clinician,psychologist,CBCL: cbcl 004 (respuesta estructurada),CBCL: cbcl 004 (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,no,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
cbcl_005,cbcl 005,anxiety,psychologist,general,cbcl_005,n/a,direct,cbcl,10,direct,integer,integer_0_2,ask_once,clinician,psychologist,CBCL: cbcl 005 (respuesta estructurada),CBCL: cbcl 005 (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,no,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
cbcl_006,cbcl 006,anxiety,psychologist,general,cbcl_006,n/a,direct,cbcl,10,direct,integer,integer_0_2,ask_once,clinician,psychologist,CBCL: cbcl 006 (respuesta estructurada),CBCL: cbcl 006 (captura tecnica estructurada),Usar escala estructurada sin texto libre.,Registrar segun instrumento y codificacion estructurada.,yes,no,high,no,none,valor dentro de rango/escala definida en contract,low,core estructurado; sin preguntas abiertas
