domain,mode,role_normalized,legacy_final_class,normalized_final_class,class_transition,review_bucket,priority_score,secondary_metric_anomaly_flag,overfit_risk_flag,generalization_risk_flag,easy_dataset_flag,shortcut_risk_flag,mode_fragility_flag,calibration_concern_flag,classification_rationale
adhd,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.912,f1=0.883,p=0.929,r=0.840,brier=0.030]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98; class=PRIMARY_WITH_CAVEAT"
anxiety,caregiver_2_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.928,f1=0.879,p=0.874,r=0.884,brier=0.031]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT"
anxiety,caregiver_full,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.939,f1=0.906,p=0.917,r=0.895,brier=0.027]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
anxiety,psychologist_2_3,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.938,f1=0.901,p=0.906,r=0.895,brier=0.030]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT"
anxiety,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.933,f1=0.899,p=0.916,r=0.884,brier=0.027]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
depression,caregiver_full,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.957,f1=0.892,p=0.841,r=0.949,brier=0.029]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
depression,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.954,f1=0.901,p=0.869,r=0.936,brier=0.025]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,caregiver_2_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.976,f1=0.943,p=0.926,r=0.962,brier=0.010]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,caregiver_full,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.978,f1=0.962,p=0.962,r=0.962,brier=0.008]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,psychologist_2_3,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.978,f1=0.962,p=0.962,r=0.962,brier=0.008]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
elimination,psychologist_full,psychologist,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,9,yes,no,no,no,no,no,no,"metrics[ba=0.977,f1=0.952,p=0.943,r=0.962,brier=0.009]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT"
conduct,caregiver_2_3,guardian,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,downgrade,bajar_a_primary_with_caveat,5,no,no,no,no,no,no,yes,"metrics[ba=0.887,f1=0.863,p=0.928,r=0.806,brier=0.060]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT"
adhd,caregiver_2_3,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.881,f1=0.769,p=0.702,r=0.851,brier=0.073]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
adhd,caregiver_full,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.875,f1=0.778,p=0.740,r=0.819,brier=0.069]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
adhd,psychologist_2_3,psychologist,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.877,f1=0.776,p=0.729,r=0.830,brier=0.068]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
conduct,caregiver_full,guardian,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,unchanged,mantener_igual,3,no,no,no,no,no,no,yes,"metrics[ba=0.905,f1=0.860,p=0.808,r=0.919,brier=0.062]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT"
conduct,psychologist_2_3,psychologist,ROBUST_PRIMARY,ROBUST_PRIMARY,unchanged,mantener_igual,3,no,no,no,no,no,no,no,"metrics[ba=0.903,f1=0.873,p=0.885,r=0.863,brier=0.060]; class=ROBUST_PRIMARY"
conduct,psychologist_full,psychologist,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,unchanged,mantener_igual,3,no,no,no,no,no,no,no,"metrics[ba=0.914,f1=0.877,p=0.844,r=0.912,brier=0.060]; class=PRIMARY_WITH_CAVEAT"
depression,caregiver_2_3,guardian,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.903,f1=0.836,p=0.831,r=0.841,brier=0.045]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
depression,psychologist_2_3,psychologist,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,unchanged,mantener_igual,3,no,no,no,no,no,yes,no,"metrics[ba=0.891,f1=0.822,p=0.827,r=0.817,brier=0.048]; mode_fragility_flag; class=HOLD_FOR_LIMITATION"
