table_index,matrix_name,row_index_in_table,section,diagnostic_unit,external_domain,parameter_name,dsm_block,criterion_label,criterion_text,data_type,normative_rule,code_reference,audit_result,rule_of_use,source_document
1,master_units_matrix,1,master_units,Trastorno por déficit de atención/hiperactividad,TDAH,,,,,,,"Criterios A-E; presentaciones, remisión y gravedad",Conforme como unidad única,Se modela como diagnóstico exacto y no como dominio agregado,matriz normativa dsm5.docx
1,master_units_matrix,2,master_units,Trastorno de conducta,Conducta,,,,,,,"Criterios A-C; tipo de inicio, emociones prosociales limitadas y gravedad",Conforme como unidad única,Se modela como diagnóstico exacto y no se mezcla con otros trastornos disruptivos,matriz normativa dsm5.docx
1,master_units_matrix,3,master_units,Enuresis,Eliminación,,,,,,,Criterios A-D y subtipo,Debe separarse,Se modela como diagnóstico interno independiente,matriz normativa dsm5.docx
1,master_units_matrix,4,master_units,Encopresis,Eliminación,,,,,,,Criterios A-D y subtipo,Debe separarse,Se modela como diagnóstico interno independiente,matriz normativa dsm5.docx
1,master_units_matrix,5,master_units,Trastorno de ansiedad por separación,Ansiedad,,,,,,,Criterios A-D,Debe separarse,Se modela como diagnóstico interno independiente,matriz normativa dsm5.docx
1,master_units_matrix,6,master_units,Trastorno de ansiedad generalizada,Ansiedad,,,,,,,Criterios A-F,Debe separarse,Se modela como diagnóstico interno independiente,matriz normativa dsm5.docx
1,master_units_matrix,7,master_units,Trastorno de depresión mayor,Depresión,,,,,,,Criterios A-E y especificadores depresivos aplicables,Debe separarse,Se modela como diagnóstico interno independiente,matriz normativa dsm5.docx
1,master_units_matrix,8,master_units,Trastorno depresivo persistente,Depresión,,,,,,,"Criterios A-H y especificadores de curso, inicio, remisión y gravedad",Debe separarse,Se modela como diagnóstico interno independiente,matriz normativa dsm5.docx
1,master_units_matrix,9,master_units,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,,,,,,,Criterios A-K,Debe separarse,Se modela como diagnóstico interno independiente,matriz normativa dsm5.docx
2,transversal_parameters_matrix,1,transversal_parameters,TRANSVERSAL,TRANSVERSAL,diagnostic_unit,Identificación,,Unidad diagnóstica DSM-5 exacta sobre la cual se realiza la decisión interna,Categórico cerrado,Una única entidad DSM-5 por fila de decisión,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,2,transversal_parameters,TRANSVERSAL,TRANSVERSAL,diagnostic_domain,Identificación,,Dominio externo de presentación del producto,Categórico cerrado,"Puede agrupar varias unidades internas, pero no reemplazarlas",,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,3,transversal_parameters,TRANSVERSAL,TRANSVERSAL,age_at_assessment,Cronología,,Edad cronológica al momento de la evaluación,Numérico,Debe permitir validar umbrales etarios y ventanas de inicio,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,4,transversal_parameters,TRANSVERSAL,TRANSVERSAL,age_at_onset,Cronología,,Edad al inicio de síntomas o del primer criterio observable,Numérico,Debe permitir validar requisitos de inicio temprano,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,5,transversal_parameters,TRANSVERSAL,TRANSVERSAL,duration_minimum,Temporalidad,,Duración mínima exigida por el criterio DSM-5 aplicable,Numérico + unidad temporal,"Debe almacenarse en meses, semanas o años según el criterio",,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,6,transversal_parameters,TRANSVERSAL,TRANSVERSAL,symptom_frequency,Temporalidad,,Frecuencia mínima exigida por el criterio DSM-5 aplicable,Numérico / ordinal,Debe capturar umbrales como 3 veces por semana o 1 vez por mes,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,7,transversal_parameters,TRANSVERSAL,TRANSVERSAL,persistence_rule,Temporalidad,,Regla de persistencia o continuidad sin intervalos mayores al máximo permitido,Texto estructurado / booleano,Debe validar ausencia de intervalos libres mayores al límite DSM-5,,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,8,transversal_parameters,TRANSVERSAL,TRANSVERSAL,contexts_present,Contexto,,Número y tipo de contextos en los que se observan los síntomas,Categórico multivalor,"Debe registrar casa, escuela, pares, trabajo u otros contextos exigidos",,,,matriz normativa dsm5.docx
2,transversal_parameters_matrix,9,transversal_parameters,TRANSVERSAL,TRANSVERSAL,cross_setting_severity,Contexto,,Severidad por contexto cuando el DSM-5 exige presencia en dos o más ambientes,Ordinal,Debe distinguir presencia y gravedad por entorno,,,,matriz normativa dsm5.docx
