mode,domain,model_family,feature_variant,target_variant,threshold_policy,threshold,abstention_band,calibration,runtime,vector_order,derived_logic,flags_logic,system_fields,missing_policy,output_contract,v6_balanced_accuracy,v6_brier,known_weakness
caregiver,adhd,rf,engineered,baseline,precision_guarded,0.605,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.8801490683229813,0.0850838599179277,adhd_recall
caregiver,conduct,rf,engineered,baseline,balanced,0.135,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.9326456310679612,0.03887678094851874,minor
caregiver,elimination,xgboost,engineered,elimination_any_baseline,precision_guarded,0.67,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.8176149068322981,0.13260211050510406,elimination_recall
caregiver,anxiety,lightgbm,engineered,baseline,precision_guarded,0.1,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.9696969696969697,0.02223672572380793,minor
caregiver,depression,catboost,engineered,baseline,precision_guarded,0.63,0.15,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.9139333841851005,0.05863779944317288,minor
psychologist,adhd,rf,base,baseline,precision_guarded,0.605,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.8890434782608696,0.08343369867599568,adhd_recall
psychologist,conduct,catboost,engineered,baseline,balanced,0.335,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.9326456310679612,0.03831887901677492,minor
psychologist,elimination,lightgbm,engineered,elimination_any_baseline,precision_guarded,0.505,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.8229316770186335,0.1356692469342928,elimination_recall
psychologist,anxiety,lightgbm,engineered,baseline,precision_guarded,0.1,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.9977272727272728,0.0022034291438283713,minor
psychologist,depression,catboost,engineered,baseline,balanced,0.29,0.05,isotonic,v6_final_runtime,metadata.feature_columns,heuristic_prefix_plus_legacy_first_after_fix,has_* from related item nonzero/nonmissing,site/release,median/mode + model defaults,score/risk/conf/uncertainty/explanation/caveat/coverage/source_mix,0.9139333841851005,0.05863779944317288,minor
