component_id,layer,artifact_type,source_path,interface_or_table,current_behavior,placeholder_vs_reusable,alignment_with_final_state,backend_db_impact,frontend_impact,evidence
Q_API_ACTIVE_TEMPLATE,backend_api,endpoint,api/routes/questionnaires.py,GET /api/v1/questionnaires/active,Entrega template activa y preguntas ordenadas por position,reusable_plumbing,partial,low,high,api/routes/questionnaires.py:87-125; docs/openapi.yaml:864-909
Q_API_TEMPLATE_LIFECYCLE,backend_api,endpoint_group,api/routes/questionnaires.py + api/routes/admin.py,POST create/add/activate/clone + admin publish/archive/clone,Versiona y activa templates,reusable_plumbing,partial,medium,medium,api/routes/questionnaires.py:128-354; api/routes/admin.py:234-358
Q_API_EVALUATION_CREATE,backend_api,endpoint,api/routes/evaluations.py,POST /api/v1/evaluations,Valida por question_id y response_type y persiste evaluation + responses,reusable_plumbing,partial,high,high,api/routes/evaluations.py:41-206; docs/openapi.yaml:1128-1184
Q_SCHEMA_TYPES_BACKEND,backend_api,schema,api/schemas/questionnaire_schema.py,QuestionCreateSchema.response_type,Tipos backend detallados (likert_0_4..text_context),reusable_with_minor_changes,partial,medium,high,api/schemas/questionnaire_schema.py:27-39; docs/openapi.yaml:3362-3382
Q_DB_TEMPLATE,backend_db,table,app/models.py,questionnaire_template,Versionado basico con is_active/is_archived,reusable_plumbing,partial,high,medium,app/models.py:131-143
Q_DB_QUESTION,backend_db,table,app/models.py,question + question_disorder,Preguntas planas con constraints numericos y multi-disorder,reusable_with_refactor,partial,high,high,app/models.py:145-170; migrations/versions/20260124_04*; 20260124_05*
Q_DB_EVALUATION,backend_db,table,app/models.py,evaluation + evaluation_response,Persistencia de sesion y respuestas por pregunta,reusable_with_refactor,partial,high,medium,app/models.py:191-228
Q_DB_PREDICTION_UNUSED,backend_db,table_group,app/models.py,evaluation_prediction/evaluation_prediction_detail/evaluation_report,Estructura existe pero no esta conectada al flujo user-facing,provisional_unwired,no,medium,high,app/models.py:310-356; sin rutas dedicadas en api/routes
Q_PREDICT_LEGACY,backend_api,endpoint_service,api/routes/predict.py + api/services/model_service.py,POST /api/predict,Endpoint experimental/deprecated; adhd-only con 6 features hardcodeadas,provisional_legacy,no,low,low,docs/openapi.yaml:129-137; api/services/model_service.py:5-27
Q_SPEC_581_FEATURES,spec_artifacts,schema_contract,artifacts/specs/questionnaire_schema.json + questionnaire_feature_contract.csv,Input contract de inferencia (feature-level),581 propiedades/features; no es cuestionario UI directo,reusable_for_mapping_not_ui_directly,partial,medium,high,artifacts/specs/questionnaire_schema.json; artifacts/specs/questionnaire_feature_contract.csv
Q_DSM5_LAYER_V1,data_artifacts,registry_mapping,data/questionnaire_dsm5_v1/*,questionnaire_items_registry + mappings,Capa DSM5 generada por script; util como base pero no cableada a runtime API,reusable_with_refactor,partial,high,high,scripts/build_questionnaire_dsm5_layer.py; data/questionnaire_dsm5_v1/*
Q_FRONT_GET_ACTIVE,frontend_reference,api_client,JeiTy29/cognIA-frontend/src/services/questionnaires/questionnaires.api.ts,getActiveQuestionnaire(),Frontend solo consume GET active,reusable_frontend_pattern,partial,low,high,frontend questionnaires.api.ts:4-5
Q_FRONT_NO_SUBMIT,frontend_reference,page_logic,JeiTy29/cognIA-frontend/src/pages/Plataforma/Cuestionario/Cuestionario.tsx + docs/vistas/Cuestionario/Cuestionario.md,handleFinish local,Termina con modal local sin enviar respuestas al backend,frontend_blocker,no,high,high,frontend Cuestionario.tsx:229-236; docs/vistas/Cuestionario/Cuestionario.md:87
Q_FRONT_TYPES_MISMATCH,frontend_reference,types,JeiTy29/cognIA-frontend/src/services/questionnaires/questionnaires.types.ts,ResponseType,UI usa likert/boolean/integer/text mientras backend usa tipos DSM detallados,frontend_change_request,no,medium,high,frontend questionnaires.types.ts:1; api/schemas/questionnaire_schema.py:27-39
Q_INFERENCE_SCOPE_V4,inference_scope,promotion_scope,artifacts/inference_v4/promotion_scope.json,active_domains vs hold_domains,Scope productivo final: 4 dominios activos y elimination hold,reusable_scope_guard,yes,medium,high,artifacts/inference_v4/promotion_scope.json; reports/final_closure/inference_scope_final.md
