trial_id,linked_hypothesis,feature_set_used,generated_feature_families_used,dataset_key,threshold_strategy,calibration_strategy,two_stage,hyperparameters,n_features,non_promotable,preliminary_decision,residual_critical,residual_high
V5_T01_control_replay_v2_best,control,elimination_fs_v5_replay_v2_best,,strict,balanced,none,False,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",240,False,candidate_honest,0,0
V5_T02_composite_clinical,H1,elimination_fs_v5_composite_clinical,composite_clinical,strict,balanced,none,False,"{""n_estimators"": 240, ""max_depth"": 6, ""min_samples_leaf"": 9, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",220,False,candidate_honest,0,0
V5_T03_anti_transdiagnostic,H2,elimination_fs_v5_anti_transdiagnostic,anti_transdiagnostic,strict,precision,none,False,"{""n_estimators"": 220, ""max_depth"": 5, ""min_samples_leaf"": 10, ""min_samples_split"": 20, ""max_features"": ""log2"", ""class_weight"": ""balanced_subsample""}",220,False,candidate_honest,0,0
V5_T04_evidence_quality_meta,H3,elimination_fs_v5_evidence_quality,evidence_quality,strict,balanced,sigmoid,False,"{""n_estimators"": 260, ""max_depth"": 6, ""min_samples_leaf"": 10, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",220,False,candidate_honest,0,0
V5_T05_subtype_auxiliary,H4,elimination_fs_v5_subtype_auxiliary,subtype_auxiliary,strict,balanced,none,False,"{""n_estimators"": 220, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",220,False,candidate_honest,0,0
V5_T06_hard_negative_engineering,H5,elimination_fs_v5_hard_negative_filtering,hard_negative,strict,conservative,sigmoid,False,"{""n_estimators"": 220, ""max_depth"": 5, ""min_samples_leaf"": 11, ""min_samples_split"": 24, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",220,False,candidate_honest,0,0
V5_T07_compact_best_combined,H1+H2+H3+H5,elimination_fs_v5_compact_best_combined,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative",strict,balanced,sigmoid,False,"{""n_estimators"": 280, ""max_depth"": 6, ""min_samples_leaf"": 10, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",210,False,candidate_honest,0,0
V5_T08_two_stage_filter,H6,elimination_fs_v5_two_stage_ready,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative,subtype_auxiliary",strict,balanced,sigmoid,True,"{""n_estimators"": 260, ""max_depth"": 6, ""min_samples_leaf"": 9, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",190,False,suspicious_perfect_score,0,0
V5_T09_abstention_ready_refit,H6,elimination_fs_v5_abstention_ready,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative",strict,balanced,sigmoid,False,"{""n_estimators"": 240, ""max_depth"": 6, ""min_samples_leaf"": 9, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",210,False,candidate_honest,0,0
V5_T10_research_context_optional,context_only,elimination_fs_v5_research_context_only,"anti_transdiagnostic,composite_clinical",research,balanced,none,False,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",224,True,candidate_honest,0,0
V5_T11_stop_condition_control,H7,elimination_fs_v5_compact_best_combined,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative",strict,conservative,sigmoid,False,"{""n_estimators"": 320, ""max_depth"": 5, ""min_samples_leaf"": 13, ""min_samples_split"": 28, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",210,False,suspicious_perfect_score,0,0
V5_T12_best_honest_candidate_final,best_candidate,elimination_fs_v5_compact_best_combined,"anti_transdiagnostic,composite_clinical,evidence_quality,hard_negative",strict,precision,sigmoid,False,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 11, ""min_samples_split"": 24, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",210,False,candidate_honest,0,0
