model_id,dataset_name,version,disorder,variant,target,n_rows,n_features,search_param_source,best_params,search_meta,threshold_method,threshold_value,balanced_accuracy_val,balanced_accuracy_test,recall_test,specificity_test,f1_test,roc_auc_test,pr_auc_test,brier_score_test,accuracy_test,precision_test,support_positive_test,support_negative_test,missing_ratio_test,risk_band_example,evidence_quality,artifact_pipeline_path,artifact_calibrated_path,artifact_metadata_path,figure_roc,figure_pr,figure_confusion,figure_calibration,dropped_columns_count,manifest_exists
dataset_adhd_clinical__strict_no_leakage,dataset_adhd_clinical,strict_no_leakage,adhd,clinical,target_adhd,1905,35,search,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.9008324580372774, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.656281033406496,0.9089937888198758,0.8373511904761904,0.79375,0.8809523809523809,0.8410596026490066,0.9226686507936508,0.941325747617704,0.11716199145592271,0.8321678321678322,0.8943661971830986,160,126,0.3697302697302697,moderate,medium,artifacts\models\binary\dataset_adhd_clinical__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_adhd_clinical__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_adhd_clinical__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__strict_no_leakage\dataset_adhd_clinical__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__strict_no_leakage\dataset_adhd_clinical__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__strict_no_leakage\dataset_adhd_clinical__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_clinical__strict_no_leakage\dataset_adhd_clinical__strict_no_leakage_calibration.png,9,True
dataset_adhd_items__strict_no_leakage,dataset_adhd_items,strict_no_leakage,adhd,items,target_adhd,1905,335,search,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.8979308001235712, 'cv_splits': 3, 'n_iter': 6}",youden_j,0.774738111573687,0.9107826086956521,0.8273809523809523,0.75,0.9047619047619048,0.821917808219178,0.9231150793650794,0.9420887010295378,0.11583962489756103,0.8181818181818182,0.9090909090909091,160,126,0.4697630727481473,moderate,weak,artifacts\models\binary\dataset_adhd_items__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_adhd_items__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_adhd_items__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__strict_no_leakage\dataset_adhd_items__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__strict_no_leakage\dataset_adhd_items__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__strict_no_leakage\dataset_adhd_items__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_items__strict_no_leakage\dataset_adhd_items__strict_no_leakage_calibration.png,9,True
dataset_adhd_minimal__strict_no_leakage,dataset_adhd_minimal,strict_no_leakage,adhd,minimal,target_adhd,1905,25,search,"{'model__n_estimators': 150, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__class_weight': 'balanced'}","{'best_cv_balanced_accuracy': 0.9002737102255175, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.5998871827155784,0.9000993788819875,0.8371031746031745,0.825,0.8492063492063492,0.8488745980707395,0.9221726190476192,0.9410197959829265,0.11760440328041641,0.8356643356643356,0.8741721854304636,160,126,0.19958041958041955,high,strong,artifacts\models\binary\dataset_adhd_minimal__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_adhd_minimal__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_adhd_minimal__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__strict_no_leakage\dataset_adhd_minimal__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__strict_no_leakage\dataset_adhd_minimal__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__strict_no_leakage\dataset_adhd_minimal__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_adhd_minimal__strict_no_leakage\dataset_adhd_minimal__strict_no_leakage_calibration.png,9,True
dataset_anxiety_combined__strict_no_leakage,dataset_anxiety_combined,strict_no_leakage,anxiety,combined,target_anxiety,1905,35,search,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.8508067140356297, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.2281844962278277,0.874832298136646,0.8415674603174603,0.9206349206349206,0.7625,0.8285714285714286,0.9421130952380952,0.9288591775147813,0.09906050460726525,0.8321678321678322,0.7532467532467533,126,160,0.1632367632367632,low,strong,artifacts\models\binary\dataset_anxiety_combined__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_anxiety_combined__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_anxiety_combined__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__strict_no_leakage\dataset_anxiety_combined__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__strict_no_leakage\dataset_anxiety_combined__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__strict_no_leakage\dataset_anxiety_combined__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_combined__strict_no_leakage\dataset_anxiety_combined__strict_no_leakage_calibration.png,9,True
dataset_anxiety_items__strict_no_leakage,dataset_anxiety_items,strict_no_leakage,anxiety,items,target_anxiety,1905,260,search,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.8529947482236638, 'cv_splits': 3, 'n_iter': 6}",youden_j,0.6642207436353612,0.8751552795031057,0.8497023809523809,0.7619047619047619,0.9375,0.8275862068965517,0.9434523809523809,0.9313916249030275,0.09881586580021061,0.8601398601398601,0.9056603773584906,126,160,0.1453200645508338,low,strong,artifacts\models\binary\dataset_anxiety_items__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_anxiety_items__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_anxiety_items__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__strict_no_leakage\dataset_anxiety_items__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__strict_no_leakage\dataset_anxiety_items__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__strict_no_leakage\dataset_anxiety_items__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_items__strict_no_leakage\dataset_anxiety_items__strict_no_leakage_calibration.png,9,True
dataset_anxiety_parent__strict_no_leakage,dataset_anxiety_parent,strict_no_leakage,anxiety,parent,target_anxiety,1905,27,search,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.851174750283184, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.5946210961981091,0.8676273291925465,0.8380456349206349,0.7698412698412699,0.90625,0.8151260504201681,0.9434027777777778,0.9310055866546915,0.098046979718159,0.8461538461538461,0.8660714285714286,126,160,0.12250712250712253,low,strong,artifacts\models\binary\dataset_anxiety_parent__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_anxiety_parent__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_anxiety_parent__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__strict_no_leakage\dataset_anxiety_parent__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__strict_no_leakage\dataset_anxiety_parent__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__strict_no_leakage\dataset_anxiety_parent__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_anxiety_parent__strict_no_leakage\dataset_anxiety_parent__strict_no_leakage_calibration.png,9,True
dataset_conduct_clinical__strict_no_leakage,dataset_conduct_clinical,strict_no_leakage,conduct,clinical,target_conduct,1905,37,search,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.8577526848122945, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.3718385021926402,0.9039812646370022,0.8559718969555035,0.7857142857142857,0.9262295081967213,0.7096774193548387,0.9539422326307572,0.7515055195766542,0.06045570225718779,0.9055944055944056,0.6470588235294118,42,244,0.21942921942921942,low,medium,artifacts\models\binary\dataset_conduct_clinical__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_conduct_clinical__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_conduct_clinical__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__strict_no_leakage\dataset_conduct_clinical__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__strict_no_leakage\dataset_conduct_clinical__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__strict_no_leakage\dataset_conduct_clinical__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_clinical__strict_no_leakage\dataset_conduct_clinical__strict_no_leakage_calibration.png,9,True
dataset_conduct_items__strict_no_leakage,dataset_conduct_items,strict_no_leakage,conduct,items,target_conduct,1905,330,search,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.8452597562571439, 'cv_splits': 3, 'n_iter': 6}",youden_j,0.377854969097109,0.8998829039812646,0.8461163153786104,0.7619047619047619,0.930327868852459,0.7032967032967034,0.9523809523809524,0.7570978073788261,0.06142370049494512,0.9055944055944056,0.6530612244897959,42,244,0.3793176520449248,low,medium,artifacts\models\binary\dataset_conduct_items__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_conduct_items__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_conduct_items__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__strict_no_leakage\dataset_conduct_items__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__strict_no_leakage\dataset_conduct_items__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__strict_no_leakage\dataset_conduct_items__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_items__strict_no_leakage\dataset_conduct_items__strict_no_leakage_calibration.png,9,True
dataset_conduct_minimal__strict_no_leakage,dataset_conduct_minimal,strict_no_leakage,conduct,minimal,target_conduct,1905,23,search,"{'model__n_estimators': 350, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.8512697833545199, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.16550140320042186,0.9011514441842311,0.8868071818891491,0.9047619047619048,0.8688524590163934,0.6785714285714286,0.9520882123341139,0.7363226858783782,0.06122947550016151,0.8741258741258742,0.5428571428571428,42,244,0.03800547278808149,low,strong,artifacts\models\binary\dataset_conduct_minimal__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_conduct_minimal__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_conduct_minimal__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__strict_no_leakage\dataset_conduct_minimal__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__strict_no_leakage\dataset_conduct_minimal__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__strict_no_leakage\dataset_conduct_minimal__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_conduct_minimal__strict_no_leakage\dataset_conduct_minimal__strict_no_leakage_calibration.png,9,True
dataset_depression_combined__strict_no_leakage,dataset_depression_combined,strict_no_leakage,depression,combined,target_depression,1905,25,search,"{'model__n_estimators': 250, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}","{'best_cv_balanced_accuracy': 0.7915462438927591, 'cv_splits': 3, 'n_iter': 8}",youden_j,0.10033791235771218,0.8983072916666667,0.87578125,0.9,0.8515625,0.5684210526315789,0.9300781250000001,0.576209992776318,0.06181406405910282,0.8566433566433567,0.4153846153846154,30,256,0.12419580419580421,low,strong,artifacts\models\binary\dataset_depression_combined__strict_no_leakage\pipeline.joblib,artifacts\models\calibrated\dataset_depression_combined__strict_no_leakage\calibrated.joblib,artifacts\models\binary\dataset_depression_combined__strict_no_leakage\metadata.json,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__strict_no_leakage\dataset_depression_combined__strict_no_leakage_roc.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__strict_no_leakage\dataset_depression_combined__strict_no_leakage_pr.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__strict_no_leakage\dataset_depression_combined__strict_no_leakage_confusion.png,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app\reports\figures\dataset_depression_combined__strict_no_leakage\dataset_depression_combined__strict_no_leakage_calibration.png,9,True
