mode,order,feature,questionnaire_item_id,domain,domains_final,question_text_primary
caregiver_1_3,1,adhd_context_home,Q003,adhd,adhd|conduct|depression,"Pensando en dificultades frecuentes de atención, inquietud o impulsividad, ¿estas conductas se observan claramente en casa?"
caregiver_1_3,2,adhd_context_other,Q004,adhd,adhd|depression,"¿Estos síntomas también se observan en otros contextos, por ejemplo con familiares, amistades o actividades?"
caregiver_1_3,3,adhd_context_school,Q005,adhd,adhd|depression,¿Estos síntomas se observan en el colegio o en otras actividades de aprendizaje?
caregiver_1_3,4,adhd_hypimp_01_fidgets,Q006,adhd,adhd|conduct|elimination|anxiety|depression,"¿Con qué frecuencia mueve mucho las manos o los pies, o se mueve inquieto mientras está sentado?"
caregiver_1_3,5,adhd_hypimp_02_leaves_seat,Q007,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia se levanta cuando debería permanecer sentado?
caregiver_1_3,6,adhd_hypimp_03_runs_or_climbs_inappropriately,Q008,adhd,adhd|conduct|anxiety|depression,"¿Con qué frecuencia corre, trepa o se mueve excesivamente cuando no corresponde?"
caregiver_1_3,7,adhd_hypimp_04_cannot_play_quietly,Q009,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia tiene dificultad para jugar o participar tranquilamente en actividades calmadas?
caregiver_1_3,8,adhd_hypimp_05_driven_by_motor,Q010,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia parece estar acelerado o no puede quedarse quieto?
caregiver_1_3,9,adhd_hypimp_06_talks_excessively,Q011,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia habla en exceso?
caregiver_1_3,10,adhd_hypimp_07_blurts_out,Q012,adhd,adhd|conduct|anxiety|depression,¿Con qué frecuencia responde antes de que terminen de hablarle o interrumpe la secuencia normal de la conversación?
caregiver_1_3,11,adhd_hypimp_08_difficulty_waiting_turn,Q013,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia le cuesta esperar su turno?
caregiver_1_3,12,adhd_hypimp_09_interrupts_intrudes,Q014,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia interrumpe actividades o conversaciones de otras personas?
caregiver_1_3,13,adhd_inatt_01_attention_to_detail_errors,Q015,adhd,adhd|conduct|anxiety|depression,¿Con qué frecuencia comete errores por descuido o no presta suficiente atención a los detalles?
caregiver_1_3,14,adhd_inatt_02_sustained_attention_difficulty,Q016,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia le cuesta mantener la atención en tareas o actividades?
caregiver_1_3,15,adhd_inatt_03_seems_not_listening,Q017,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia parece que no escucha cuando se le habla directamente?
caregiver_1_3,16,adhd_inatt_04_fails_to_finish_tasks,Q018,adhd,adhd|conduct|anxiety|depression,"¿Con qué frecuencia empieza tareas, deberes o actividades, pero no las termina o no sigue las instrucciones hasta el final?"
caregiver_1_3,17,adhd_inatt_05_organization_difficulty,Q019,adhd,adhd|conduct|anxiety|depression,"¿Con qué frecuencia tiene dificultades para organizar tareas, materiales o actividades?"
caregiver_1_3,18,adhd_inatt_06_avoids_sustained_effort,Q020,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia evita o rechaza tareas que exigen esfuerzo mental sostenido?
caregiver_1_3,19,adhd_inatt_07_loses_things,Q021,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia pierde objetos necesarios para sus actividades?
caregiver_1_3,20,adhd_inatt_08_easily_distracted,Q022,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia se distrae fácilmente con estímulos externos o pensamientos irrelevantes?
caregiver_1_3,21,adhd_inatt_09_forgetful_daily_activities,Q023,adhd,adhd|conduct|elimination|anxiety|depression,¿Con qué frecuencia es olvidadizo en actividades diarias?
caregiver_1_3,22,adhd_impairment_home,Q024,adhd,adhd|conduct|elimination|anxiety|depression,"Pensando en estas dificultades de atención, inquietud o impulsividad, ¿cuánto afectan la convivencia o el funcionamiento en casa?"
caregiver_1_3,23,adhd_impairment_school,Q025,adhd,adhd|conduct|depression,"Pensando en estas dificultades de atención, inquietud o impulsividad, ¿cuánto afectan el funcionamiento escolar o de aprendizaje?"
caregiver_1_3,24,adhd_impairment_social,Q026,adhd,adhd|conduct|depression,"Pensando en estas dificultades de atención, inquietud o impulsividad, ¿cuánto afectan las amistades, el juego o la relación con otras personas?"
caregiver_1_3,25,conduct_impairment_global,Q027,adhd,adhd|conduct|elimination|depression,"En conjunto, ¿cuánto afectan estas conductas la vida diaria?"
caregiver_1_3,26,adhd_onset_before_12,Q028,adhd,adhd|depression,"Pensando en la historia del niño o la niña hasta hoy, ¿estas dificultades ya se observaban claramente desde años anteriores y no comenzaron solo recientemente?"
caregiver_1_3,27,conduct_01_bullies_threatens_intimidates,Q036,adhd,adhd|conduct|elimination|anxiety|depression,"¿Ha intimidado, amenazado o acosado repetidamente a otras personas?"
caregiver_1_3,28,conduct_02_initiates_fights,Q037,adhd,adhd|conduct|anxiety|depression,¿Ha iniciado peleas físicas?
caregiver_1_3,29,conduct_03_weapon_use,Q038,adhd,adhd|conduct|anxiety|depression,¿Ha usado un objeto o arma que pudiera causar daño grave?
caregiver_1_3,30,conduct_04_physical_cruelty_people,Q039,adhd,adhd|conduct|anxiety|depression,¿Ha sido físicamente cruel con otras personas?
caregiver_1_3,31,conduct_05_physical_cruelty_animals,Q040,adhd,adhd|conduct|anxiety|depression,¿Ha sido físicamente cruel con animales?
caregiver_1_3,32,conduct_06_steals_confronting_victim,Q041,adhd,adhd|conduct|anxiety|depression,"¿Ha robado algo usando amenaza, fuerza o intimidación contra otra persona?"
caregiver_1_3,33,conduct_07_forced_sex,Q042,adhd,adhd|conduct|anxiety|depression,¿Ha forzado a otra persona a una actividad sexual?
caregiver_1_3,34,conduct_08_fire_setting,Q043,adhd,adhd|conduct|elimination|anxiety|depression,¿Ha provocado incendios deliberadamente con intención de causar daño o problemas serios?
caregiver_1_3,35,conduct_09_property_destruction,Q044,adhd,adhd|conduct|anxiety|depression,¿Ha destruido deliberadamente propiedad ajena?
caregiver_1_3,36,conduct_10_breaks_into_house_building_car,Q045,adhd,adhd|conduct|anxiety|depression,"¿Ha entrado por la fuerza a una casa, edificio o vehículo que no le pertenecía?"
