mode,domain,feature_set_id,n_features,feature_list_pipe,construction_rule
caregiver_1_3,adhd,balanced_subset,27,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|dmdd_outbursts_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_04_sleep_change,balanced_subset
caregiver_1_3,adhd,compact_subset,22,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_15_truancy_before_13|dmdd_outbursts_frequency_per_week,compact_subset
caregiver_1_3,adhd,engineered_compact,26,adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_03_weapon_use|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|dmdd_outbursts_frequency_per_week|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy,engineered_compact
caregiver_1_3,adhd,engineered_full,58,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|sep_anx_01_distress_on_separation,engineered_full
caregiver_1_3,adhd,engineered_pruned,38,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|dmdd_outbursts_frequency_per_week|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy|mdd_01_depressed_or_irritable_mood|mdd_03_weight_or_appetite_change|mdd_04_sleep_change,engineered_pruned
caregiver_1_3,adhd,full_eligible,49,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|sep_anx_01_distress_on_separation,full_eligible
caregiver_1_3,adhd,precision_oriented_subset,20,adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car,precision_oriented_subset
caregiver_1_3,adhd,stability_pruned_subset,24,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_15_truancy_before_13|dmdd_outbursts_frequency_per_week,stability_pruned_subset
caregiver_1_3,anxiety,balanced_subset,27,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_08_easily_distracted|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|sep_anx_01_distress_on_separation,balanced_subset
caregiver_1_3,anxiety,compact_subset,22,adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_05_organization_difficulty|adhd_inatt_08_easily_distracted|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|sep_anx_01_distress_on_separation,compact_subset
