input_key,domain(s),direct_or_derived_or_flag_or_system,legacy_semantics,current_reconstructed_semantics,exact_match_yes_no,approximate_match_yes_no,exact_match_rate_current,exact_match_rate_fixed,approx_match_rate_current,mismatch_type,mismatch_severity,notes
has_sdq,adhd;conduct;elimination;anxiety;depression,presence_flag,PRESENCE_FLAG,rebuild_presence_flag,no,no,0.9325,0.9333333333333333,0.9325,formula_or_flag,medium,fixed pipeline uses legacy-first assignment when value exists
has_swan,adhd,presence_flag,PRESENCE_FLAG,rebuild_presence_flag,no,no,0.9533333333333334,0.9533333333333334,0.9533333333333334,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
has_icut,conduct,presence_flag,PRESENCE_FLAG,rebuild_presence_flag,no,no,0.9566666666666667,0.9566666666666667,0.9566666666666667,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
has_cbcl,adhd;conduct;elimination;anxiety;depression,presence_flag,PRESENCE_FLAG,rebuild_presence_flag,no,no,0.9716666666666667,0.9716666666666667,0.9716666666666667,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
age_years,adhd;conduct;elimination;anxiety;depression,direct_question,DEMOGRAPHIC,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
ari_p_symptom_total,conduct,derived,ARI_P,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
ari_sr_symptom_total,conduct,derived,ARI_SR,rebuild_derived,yes,yes,1.0,1.0,1.0,formula_or_flag,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_001,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_002,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
cbcl_003,anxiety,direct_question,CBCL,rebuild_direct_question,yes,yes,1.0,1.0,1.0,none,low,fixed pipeline uses legacy-first assignment when value exists
